Episode = 0, Score = -172.8244600773552, Avg_Score = -172.8244600773552
Episode = 1, Score = -139.82369416138891, Avg_Score = -156.32407711937208
Episode = 2, Score = -204.91472960195262, Avg_Score = -172.52096128023223
Episode = 3, Score = -158.72511232252722, Avg_Score = -169.071999040806
Episode = 4, Score = -44.449927975550565, Avg_Score = -144.1475848277549
Episode = 5, Score = -42.0949874939937, Avg_Score = -127.13881860546138
Episode = 6, Score = -343.7138926472828, Avg_Score = -158.0781148971502
Episode = 7, Score = -168.73963620460322, Avg_Score = -159.41080506058177
Episode = 8, Score = -98.80768458377402, Avg_Score = -152.67712500760314
Episode = 9, Score = -48.54688155851943, Avg_Score = -142.26410066269477
Episode = 11, Score = -321.9941733925529, Avg_Score = -158.60319818359096
Episode = 13, Score = -572.4013209694928, Avg_Score = -193.0863750824161
Episode = 14, Score = -337.2834252490751, Avg_Score = -204.1784558644668
Episode = 15, Score = -92.76900092050546, Avg_Score = -196.22063765418383
Episode = 16, Score = -121.92250583122132, Avg_Score = -191.26742886598635
Episode = 17, Score = -325.64492786025266, Avg_Score = -199.666022553128
Episode = 18, Score = -356.65348992364716, Avg_Score = -208.90057945727617
Episode = 19, Score = -159.34505886398387, Avg_Score = -206.14749497987106
Episode = 20, Score = -194.3167978267844, Avg_Score = -205.52482670865595
Episode = 21, Score = -394.0264185104558, Avg_Score = -214.94990629874596
Episode = 22, Score = -186.87812833605366, Avg_Score = -213.61315496718922
Episode = 23, Score = -433.5427621402886, Avg_Score = -223.60995529323918
Episode = 24, Score = -93.55737148575679, Avg_Score = -217.95549512769645
Episode = 25, Score = -200.78653238136536, Avg_Score = -217.24012167993263
Episode = 27, Score = -163.869831506595, Avg_Score = -215.10531007299912
Episode = 28, Score = -126.10563781314606, Avg_Score = -211.68224575531247
Episode = 33, Score = -309.88487861370874, Avg_Score = -215.31938030562344
Episode = 34, Score = -341.1483141908882, Avg_Score = -219.81327080152576
Episode = 40, Score = -129.24253396625494, Avg_Score = -216.69014194513713
Episode = 41, Score = 135.61766311888485, Avg_Score = -204.94654844300305
Episode = 42, Score = 7.8543310327005855, Avg_Score = -198.08200394378682
Episode = 43, Score = 234.92252471505986, Avg_Score = -184.55061242319786
Episode = 44, Score = 239.8153865830879, Avg_Score = -171.69103669573465
Episode = 45, Score = 216.04754791035907, Avg_Score = -160.28696067790838
Episode = 46, Score = 248.5145406228411, Avg_Score = -148.60691778360123
Episode = 47, Score = 242.335263634624, Avg_Score = -137.7474127442061
Episode = 48, Score = 169.62833878611156, Avg_Score = -129.43996000014346
Episode = 49, Score = 189.33700862125323, Avg_Score = -121.05109240484353
Episode = 50, Score = 220.40217328005463, Avg_Score = -112.29588046420511
Episode = 51, Score = 222.10483702614502, Avg_Score = -103.93586252694638
Episode = 52, Score = 246.69009731333605, Avg_Score = -95.3840098479151
Episode = 53, Score = 235.4391596857961, Avg_Score = -87.50726771616007
Episode = 54, Score = 256.60786991892707, Avg_Score = -79.50459009673943
Episode = 55, Score = 10.374611665398348, Avg_Score = -77.46188096578176
Episode = 56, Score = 263.0346683483212, Avg_Score = -69.89529098102392
Episode = 57, Score = 223.688086089538, Avg_Score = -63.513043653403
Episode = 58, Score = 216.76971983630986, Avg_Score = -57.54958060043039
Episode = 59, Score = 191.32740427854046, Avg_Score = -52.36464341545184
Episode = 60, Score = 181.23643547692552, Avg_Score = -47.59727445846454
Episode = 61, Score = 204.24308373902795, Avg_Score = -42.560467294514694
Episode = 62, Score = 246.17082785071958, Avg_Score = -36.89906935049049
Episode = 63, Score = 269.36056523129, Avg_Score = -31.009460993148554
Episode = 64, Score = 234.20795291102996, Avg_Score = -26.005358844013113
Episode = 65, Score = 282.49973712102906, Avg_Score = -20.292301511327146
Episode = 66, Score = 5.698928157876551, Avg_Score = -19.819733699159805
Episode = 67, Score = 174.3555812493199, Avg_Score = -16.3523173607941
Episode = 68, Score = 75.97454993678774, Avg_Score = -14.732547759082136
