Episode = 0, Score = -233.61119964556772, Avg_Score = -233.61119964556772
Episode = 1, Score = -525.9283413078568, Avg_Score = -379.76977047671227
Episode = 2, Score = -245.80320665873302, Avg_Score = -335.11424920405256
Episode = 3, Score = -196.7213520588425, Avg_Score = -300.51602491775003
Episode = 4, Score = -151.93022785163637, Avg_Score = -270.79886550452727
Episode = 5, Score = -218.22457382570025, Avg_Score = -262.0364835580561
Episode = 6, Score = -223.25390230974293, Avg_Score = -256.4961148082971
Episode = 7, Score = -189.23716835357598, Avg_Score = -248.08874650145697
Episode = 8, Score = -299.12544439968144, Avg_Score = -253.7594907123708
Episode = 9, Score = -262.8063642905305, Avg_Score = -254.66417807018675
Episode = 10, Score = -180.03523587364015, Avg_Score = -247.87972877959157
Episode = 11, Score = -117.24866375449952, Avg_Score = -236.99380669416723
Episode = 12, Score = -220.52092056474282, Avg_Score = -235.72666160728843
Episode = 13, Score = -247.40271645089982, Avg_Score = -236.56066552468926
Episode = 14, Score = -222.8921155464374, Avg_Score = -235.64942885947247
Episode = 15, Score = -307.87410618755115, Avg_Score = -240.1634711924774
Episode = 16, Score = -643.8096173431202, Avg_Score = -263.90736214251524
Episode = 18, Score = -518.5514476566, Avg_Score = -278.0542557821866
Episode = 20, Score = -516.6304213462527, Avg_Score = -290.61089607503214
Episode = 21, Score = -315.9153719236318, Avg_Score = -291.87611986746214
Episode = 22, Score = -280.2787333305612, Avg_Score = -291.323863365705
Episode = 24, Score = -181.3033273101103, Avg_Score = -286.3229299086325
Episode = 25, Score = -372.546276129006, Avg_Score = -290.0717710486487
Episode = 26, Score = -485.5090053457844, Avg_Score = -298.21498914436273
Episode = 28, Score = -320.30340450181814, Avg_Score = -299.09852575866097
Episode = 30, Score = -433.5821208604118, Avg_Score = -304.2709717241129
Episode = 35, Score = -184.41806687959297, Avg_Score = -299.83197524838994
Episode = 36, Score = -241.22653859810802, Avg_Score = -297.73892393945135
Episode = 38, Score = -471.28387549657174, Avg_Score = -303.7232326138348
Episode = 39, Score = -104.65991569946391, Avg_Score = -297.0877887166891
Episode = 41, Score = -67.24518321659673, Avg_Score = -289.67351111991195
Episode = 42, Score = 98.5121800760478, Avg_Score = -277.54270827003813
Episode = 43, Score = -33.249070298796596, Avg_Score = -270.13987075575807
Episode = 44, Score = -367.0115019980997, Avg_Score = -272.98903638053287
Episode = 45, Score = -207.04570464480216, Avg_Score = -271.1049411880834
Episode = 46, Score = 171.95164386923648, Avg_Score = -258.79781382538005
Episode = 47, Score = -82.40724580332419, Avg_Score = -254.03050117613532
Episode = 48, Score = 156.1005768325496, Avg_Score = -243.2375780706436
Episode = 49, Score = 142.14628520593743, Avg_Score = -233.35594055073125
Episode = 50, Score = -87.5480858570524, Avg_Score = -229.7107441833893
Episode = 51, Score = 138.04912857477368, Avg_Score = -220.74099118928777
Episode = 52, Score = -66.41419407581338, Avg_Score = -217.06654363896692
Episode = 53, Score = 229.81937412610532, Avg_Score = -206.6738478769885
Episode = 54, Score = 149.87466352302656, Avg_Score = -198.57047261789722
Episode = 55, Score = 154.96552695897427, Avg_Score = -190.7141170717445
Episode = 56, Score = 88.33533756909111, Avg_Score = -184.64782457955243
Episode = 57, Score = 231.66902001534274, Avg_Score = -175.79001937540573
Episode = 58, Score = 179.18284274939577, Avg_Score = -168.39475141447238
Episode = 59, Score = -115.70401628777917, Avg_Score = -167.31943028943783
Episode = 60, Score = 219.74572653074722, Avg_Score = -159.5781271530341
Episode = 61, Score = 15.898739586860941, Avg_Score = -156.13740427578128
